nh3_mg_per_day,nh3_loading_mmol_per_day,famotidine_loading_mmol_per_day,joint_loading_mmol_per_day,nh3_fraction_of_joint_loading,overall_active_hits,language_rows,language_active_rows,language_mean_abs_offset,language_median_abs_offset,language_max_abs_offset,language_mean_net_offset,language_total_new_breaks,language_total_restored_relations,language_total_relation_transitions,language_mean_pair_correspondence,best_language_pair_rank,best_language_source_term,best_language_pair_correspondence,word_finding_abs_offset,word_finding_net_offset,word_finding_new_breaks,word_finding_restored_relations,word_finding_pair_rank,word_finding_pair_correspondence,critical_in_language,high_in_language,moderate_in_language,minor_in_language,informational_in_language,language_mean_abs_offset_vs_famotidine_ratio,language_mean_abs_offset_percent_change_vs_famotidine,word_finding_abs_offset_vs_famotidine_ratio,word_finding_abs_offset_percent_change_vs_famotidine,local_slope_mean_abs_offset_per_mg
0.0,0.0,0.11853769528344439,0.11853769528344439,0.0,1464,17,17,0.018512813899149463,0.018477680067084057,0.024401765152471167,0.018512813899149463,151,64,215,0.2902544891216997,182,Word finding difficulty,0.3047240325510826,0.024401765152471167,0.024401765152471167,9,6,182,0.3047240325510826,0,0,1,16,0,1.0,0.0,1.0,0.0,
0.1,0.005871811312866548,0.11853769528344439,0.12440950659631093,0.04719744876024339,1464,17,17,0.019891487170940934,0.019903097587872565,0.026620336850801896,0.019891487170940934,160,64,224,0.308360326894081,75,Word finding difficulty,0.3250215204168245,0.026620336850801896,0.026620336850801896,10,6,75,0.3250215204168245,0,0,1,16,0,1.0744712975186776,7.447129751867765,1.0909184923495607,9.091849234956072,0.013786732717914717
0.25,0.01467952828216637,0.11853769528344439,0.13321722356561078,0.110192420238638,1475,17,17,0.022065267849443033,0.02231718277028294,0.029646039156320136,0.022065267849443033,167,63,230,0.3146099919943099,52,Word finding difficulty,0.3353162871410636,0.029646039156320136,0.029646039156320136,11,6,52,0.3353162871410636,0,0,1,16,0,1.1918916254247434,19.189162542474335,1.214913715097282,21.491371509728197,0.01449187119001399
0.5,0.02935905656433274,0.11853769528344439,0.14789675184777712,0.19851048922663683,1467,17,17,0.026340170671935753,0.026734900961204122,0.03507368917973763,0.026340170671935753,185,63,248,0.31672708819376855,35,Word finding difficulty,0.33849832829062987,0.03507368917973763,0.03507368917973763,14,6,35,0.33849832829062987,0,0,1,16,0,1.4228075113500658,42.280751135006575,1.4373422971897474,43.73422971897474,0.01709961128997088
1.0,0.05871811312866548,0.11853769528344439,0.17725580841210986,0.33126199730588884,1503,17,17,0.03648893784260884,0.03688461391163944,0.04664953015544071,0.03648893784260884,226,63,289,0.31352379893312404,28,Word finding difficulty,0.33600375385926695,0.04664953015544071,0.04664953015544071,15,6,28,0.33600375385926695,0,0,1,16,0,1.971009811981379,97.1009811981379,1.9117276911714116,91.17276911714116,0.02029753434134618
2.0,0.11743622625733097,0.11853769528344439,0.23597392154077534,0.49766612128382354,1520,17,17,0.060680083984421526,0.06121595161302651,0.0710365421738941,0.060680083984421526,259,74,333,0.302589125354101,27,Word finding difficulty,0.32512488996369926,0.0710365421738941,0.0710365421738941,21,7,27,0.32512488996369926,0,0,1,16,0,3.2777342393751043,227.77342393751044,2.9111230982689884,191.11230982689884,0.024191146141812683
5.0,0.2935905656433274,0.11853769528344439,0.4121282609267718,0.7123766882259344,1491,17,17,0.14689918596578683,0.14741649957798897,0.15646762594028873,0.14689918596578683,364,111,475,0.277185693013981,13,Word finding difficulty,0.29887406939081407,0.1548099187589168,0.1548099187589168,28,7,13,0.29887406939081407,0,0,1,16,0,7.935000414633663,693.5000414633663,6.344209846771647,534.4209846771647,0.0287397006604551
