nh3_mg_per_day,nh3_loading_mmol_per_day,famotidine_loading_mmol_per_day,joint_loading_mmol_per_day,nh3_fraction_of_joint_loading,overall_active_hits,language_rows,language_active_rows,language_mean_abs_offset,language_median_abs_offset,language_max_abs_offset,language_mean_net_offset,language_total_new_breaks,language_total_restored_relations,language_total_relation_transitions,language_mean_pair_correspondence,best_language_pair_rank,best_language_source_term,best_language_pair_correspondence,word_finding_abs_offset,word_finding_net_offset,word_finding_new_breaks,word_finding_restored_relations,word_finding_pair_rank,word_finding_pair_correspondence,critical_in_language,high_in_language,moderate_in_language,minor_in_language,informational_in_language,language_mean_abs_offset_vs_famotidine_ratio,language_mean_abs_offset_percent_change_vs_famotidine,word_finding_abs_offset_vs_famotidine_ratio,word_finding_abs_offset_percent_change_vs_famotidine,local_slope_mean_abs_offset_per_mg
0.0,0.0,0.11853769528344439,0.11853769528344439,0.0,1464,17,17,0.018512813899149418,0.018477680067084,0.0244017651524711,0.018512813899149418,151,64,215,0.2902544891216997,182,Word finding difficulty,0.3047240325510826,0.0244017651524711,0.0244017651524711,9,6,182,0.3047240325510826,0,0,1,16,0,1.0,0.0,1.0,0.0,
0.1,0.005871811312866548,0.11853769528344439,0.12440950659631093,0.04719744876024339,1464,17,17,0.01989148717094088,0.0199030975878725,0.0266203368508018,0.019891487170940875,160,64,224,0.308360326894081,75,Word finding difficulty,0.3250215204168245,0.0266203368508018,0.0266203368508018,10,6,75,0.3250215204168245,0,0,1,16,0,1.0744712975186774,7.447129751867743,1.0909184923495598,9.091849234955983,0.013786732717914613
0.25,0.01467952828216637,0.11853769528344439,0.13321722356561078,0.110192420238638,1475,17,17,0.022065267849442988,0.0223171827702829,0.0296460391563201,0.022065267849442988,167,63,230,0.31460999199430983,52,Word finding difficulty,0.3353162871410636,0.0296460391563201,0.0296460391563201,11,6,52,0.3353162871410636,0,0,1,16,0,1.1918916254247438,19.18916254247438,1.2149137150972837,21.491371509728374,0.01449187119001406
0.5,0.02935905656433274,0.11853769528344439,0.14789675184777712,0.19851048922663683,1467,17,17,0.026340170671935705,0.0267349009612041,0.0350736891797376,0.0263401706719357,185,63,248,0.3167270881937685,35,Word finding difficulty,0.3384983282906298,0.0350736891797376,0.0350736891797376,14,6,35,0.3384983282906298,0,0,1,16,0,1.4228075113500664,42.280751135006646,1.4373422971897498,43.73422971897498,0.017099611289970867
1.0,0.05871811312866548,0.11853769528344439,0.17725580841210986,0.33126199730588884,1503,17,17,0.03648893784260881,0.0368846139116394,0.0466495301554407,0.03648893784260881,226,63,289,0.31352379893312404,28,Word finding difficulty,0.3360037538592669,0.0466495301554407,0.0466495301554407,15,6,28,0.3360037538592669,0,0,1,16,0,1.971009811981382,97.10098119813819,1.911727691171416,91.1727691171416,0.020297534341346207
2.0,0.11743622625733097,0.11853769528344439,0.23597392154077534,0.49766612128382354,1520,17,17,0.0606800839844215,0.0612159516130265,0.0710365421738941,0.0606800839844215,259,74,333,0.30258912535410093,27,Word finding difficulty,0.3251248899636992,0.0710365421738941,0.0710365421738941,21,7,27,0.3251248899636992,0,0,1,16,0,3.277734239375111,227.7734239375111,2.9111230982689964,191.11230982689963,0.02419114614181269
5.0,0.2935905656433274,0.11853769528344439,0.4121282609267718,0.7123766882259344,1491,17,17,0.14689918596578677,0.1474164995779889,0.1564676259402887,0.14689918596578677,364,111,475,0.27718569301398094,13,Word finding difficulty,0.298874069390814,0.1548099187589168,0.1548099187589168,28,7,13,0.298874069390814,0,0,1,16,0,7.935000414633679,693.5000414633679,6.344209846771664,534.4209846771664,0.02873970066045509
